persona_id,group_id,name,occupation,age,age_bin,sex,region,region_group,district
f36981f8c8ca4969b7c6458354a93bb5,B_의료직,이민정,전문 간호사,34,20-39,여자,부산,비수도권,부산-부산진구
fc92eb605f324320b3c8dea4e9fddadc,B_의료직,김선영,전문 간호사,35,20-39,여자,서울,수도권,서울-영등포구
ccae9e0ed6f4472ca9d9233af55d3210,B_의료직,이도현,간호조무사,53,40-59,여자,대구,비수도권,대구-달서구
88e8cdd583564221bd07fec8cc948f76,B_의료직,박영남,전문 간호사,57,40-59,여자,서울,수도권,서울-동작구
81c3ef4d843444d084c14689e010ebf3,B_의료직,심미옥,간호조무사,68,60+,여자,경상남,비수도권,경상남-산청군
033f74fbadee400b8c090a80d5a43140,B_의료직,이점식,간호조무사,68,60+,여자,경기,수도권,경기-가평군
c36747d49b5346ce9a829ff8c14755f4,B_의료직,여주리,일반 간호사,32,20-39,여자,부산,비수도권,부산-부산진구
eb2f92dcd0564d3a9a28c699513b2225,B_의료직,오예빈,일반 간호사,23,20-39,여자,인천,수도권,인천-부평구
0716116f9d40493a9f74a25fc6035d03,B_의료직,강정순,물리치료사,47,40-59,여자,부산,비수도권,부산-북구
5f92950025b34aadb89ac17b3c28bf86,B_의료직,박윤미,물리치료사,51,40-59,여자,경기,수도권,경기-수원시 권선구
ada348a2ce7048509eaed5b419d9517d,B_의료직,조학순,간호조무사,67,60+,여자,경상남,비수도권,경상남-창원시 마산회원구
f575f3f70a3243129d3c341141be4a42,B_의료직,배영희,간호조무사,62,60+,여자,인천,수도권,인천-남동구
6b9e27f3ceeb42ff99e862640c574ef7,B_의료직,고호원,일반 간호사,26,20-39,여자,전북,비수도권,전북-익산시
0f7cb84206fe494898992ac27f7df74d,B_의료직,김태란,일반 간호사,25,20-39,여자,경기,수도권,경기-용인시 처인구
c4c363e88d0344c2bf2196fb75b92c44,B_의료직,윤미선,일반 간호사,50,40-59,여자,대구,비수도권,대구-달성군
16c5d6adc69d448c827abe9c162d1d28,B_의료직,김지은,방사선사,41,40-59,여자,서울,수도권,서울-서초구
6ba212b4f9f94f668114bab70284b25a,B_의료직,이재영,간호조무사,61,60+,여자,경상북,비수도권,경상북-구미시
0be23c95b0864c7ea9ea08ee4bc158b6,B_의료직,한기연,일반 간호사,63,60+,여자,경기,수도권,경기-군포시
ac3fe96b459e4ed1822683b94cfc94c0,B_의료직,주예진,일반 간호사,33,20-39,여자,광주,비수도권,광주-북구
5205ea056ac940cca10292a795cc3480,B_의료직,정은혜,전문 간호사,27,20-39,여자,서울,수도권,서울-송파구
dbd82859372f446b9f53ec919e6d9a76,B_의료직,최선화,일반 간호사,46,40-59,여자,경상북,비수도권,경상북-김천시
7df18951f49048ca81c0ff4f9544efb3,B_의료직,백주영,간호조무사,44,40-59,여자,경기,수도권,경기-고양시 덕양구
f69510206bc146d799340923ef3a07a3,B_의료직,금규명,약사,71,60+,남자,경상북,비수도권,경상북-예천군
d23b3270c9a445d39a63b17016b34c3d,B_의료직,김영열,간호조무사,67,60+,여자,인천,수도권,인천-남동구
1db3bcd5ba8644dc9a926790da9d0c97,B_의료직,김예진,일반 간호사,34,20-39,여자,경상북,비수도권,경상북-울진군
b3154c768b9c4bfba008d6d457a08c1e,B_의료직,권지연,전문 간호사,31,20-39,여자,경기,수도권,경기-파주시
5dd170c828c04d7fb457b5a8658ca4e5,B_의료직,김은하,일반 간호사,42,40-59,여자,대전,비수도권,대전-대덕구
91491b32f72b49f9a1efb428a388d7a4,B_의료직,전주현,약사,44,40-59,여자,경기,수도권,경기-성남시 분당구
d8623b6ce14f450b980e5582e0e01c6c,B_의료직,김옥자,간호조무사,67,60+,여자,대전,비수도권,대전-동구
d8e40b44e73945a5b919a0e95b44b902,B_의료직,이혜숙,간호조무사,68,60+,여자,서울,수도권,서울-강동구
7e1c5a6bfaa142debc05d27cba92a089,B_의료직,김나윤,약사,29,20-39,여자,광주,비수도권,광주-광산구
c40469d468e441a5827838753b1e2cd9,B_의료직,김영웅,간호조무사,19,20-39,남자,경기,수도권,경기-파주시
8749af1bf6a14f2bbc9fafddee281367,B_의료직,한보경,약사,46,40-59,여자,경상남,비수도권,경상남-진주시
7fa3fb43b0a74dd685461e6d9fb29fd3,B_의료직,김복금,간호조무사,57,40-59,여자,인천,수도권,인천-연수구
444ed7745dbf45ca9db34ef780e5f18c,B_의료직,신연중,간호조무사,62,60+,여자,전라남,비수도권,전라남-영광군
359e1c0dd2b44bad9bc4bc92611f731a,B_의료직,오갑숙,약사,73,60+,여자,경기,수도권,경기-용인시 기흥구
15cf2537c05a47c0ab334a7ebf4eb420,B_의료직,기수연,약사,29,20-39,여자,부산,비수도권,부산-연제구
67c5def1244e4fc8b02874bcb3b4b3d8,B_의료직,김영아,한약사,39,20-39,여자,인천,수도권,인천-미추홀구
a6f049374e7040149827defa4776cee7,B_의료직,조혜정,약사,43,40-59,여자,경상남,비수도권,경상남-김해시
99f5851aee59460eb801d6618f40e5d6,B_의료직,정혜미,전문 간호사,43,40-59,여자,서울,수도권,서울-광진구
f1c87c924f60448c984083f6b8fb3c57,B_의료직,주순주,일반 간호사,62,60+,여자,전라남,비수도권,전라남-나주시
3aa8a9f2b5194e4290b7c6194c66eafe,B_의료직,김옥순,간호조무사,72,60+,여자,경기,수도권,경기-수원시 영통구
6444e14a25394b66abe40e869df8ea6c,B_의료직,김지현,간호조무사,30,20-39,여자,광주,비수도권,광주-서구
2c6577beedf74bbaae2dd51852343e1e,B_의료직,이수연,간호조무사,26,20-39,여자,경기,수도권,경기-안성시
ca2be92ad5424d299475f73fcebfee20,B_의료직,김미애,전문 간호사,41,40-59,여자,대전,비수도권,대전-유성구
96460ec34791428bac82724d4e1ac404,B_의료직,김영주,일반 간호사,46,40-59,여자,서울,수도권,서울-강남구
fd63857cf41b446a94d1341258ddde98,B_의료직,목보영,일반 간호사,60,60+,여자,경상남,비수도권,경상남-창원시 의창구
0d44de02a6ff4072aa29d007cb2fcdd7,B_의료직,이경례,간호조무사,62,60+,여자,경기,수도권,경기-수원시 장안구
33ff1a4f880744c89511a641793e355c,B_의료직,유시윤,전문 간호사,29,20-39,여자,광주,비수도권,광주-북구
2e6fa909049640f59b8b76a08e442a93,B_의료직,최인혜,전문 간호사,31,20-39,여자,경기,수도권,경기-남양주시
2d43eb82177e4f9987dbde443f07da17,A_개원의,최보라,내과 전문 의사,31,20-39,여자,울산,비수도권,울산-동구
8e4ec87ca03746c6bf2715fe38052b6d,A_개원의,송정훈,외과 전문 의사,31,20-39,남자,서울,수도권,서울-강남구
83cb880debe44bc6954dffd821df0e90,A_개원의,신진원,소아청소년과 전문 의사,46,40-59,남자,경상남,비수도권,경상남-창원시 진해구
b770dfff78024e1e92850a68d8c6ef78,A_개원의,이신숙,내과 전문 의사,58,40-59,여자,서울,수도권,서울-노원구
d3f0ddb5e1714be18784648fb1b4994a,A_개원의,김재금,내과 전문 의사,67,60+,여자,경상남,비수도권,경상남-거제시
a4e90b834d6d4e319b6036b36962058f,A_개원의,유종근,안과 및 이비인후과 전문 의사,63,60+,남자,경기,수도권,경기-의왕시
b5d63b8764b44c1ebe79629a81fbb062,A_개원의,조슬비,일반 의사,35,20-39,여자,대구,비수도권,대구-동구
a5447ea43e2144cf8f099df664798aeb,A_개원의,유온유,정신건강의학과 및 신경과 전문 의사,32,20-39,남자,서울,수도권,서울-강서구
ffd3c85ca66a44aa99928ecfe22d939c,A_개원의,설현철,안과 및 이비인후과 전문 의사,47,40-59,남자,부산,비수도권,부산-남구
e101acb5ba164291b6a0045698544606,A_개원의,김상수,일반 의사,53,40-59,남자,경기,수도권,경기-성남시 분당구
1a91581fdf0946ab85b0fdc5d04665f4,A_개원의,이태옥,내과 전문 의사,60,60+,남자,경상남,비수도권,경상남-창원시 마산회원구
4e6225b06e834649b1c754c60cbd8716,A_개원의,남향순,일반 의사,78,60+,여자,경기,수도권,경기-용인시 처인구
3842149a2b44429897688e0ec82b2a57,A_개원의,채정은,일반 의사,28,20-39,여자,경상북,비수도권,경상북-포항시 북구
090e7e5338ac4010adb47d4db9635b0d,A_개원의,김영진,일반 의사,38,20-39,남자,서울,수도권,서울-관악구
de9648c9d39940a6a8ff0a9f6a7eecb1,A_개원의,김경철,내과 전문 의사,40,40-59,남자,대구,비수도권,대구-서구
9eeb3429a0804f88b560076ab45641ac,A_개원의,김혜순,일반 의사,40,40-59,여자,경기,수도권,경기-부천시 소사구
4cda057374ce4429bb18797e10114ab9,A_개원의,최영복,내과 전문 의사,63,60+,남자,제주,비수도권,제주-제주시
1f8c36bd3ac24e95802feda563454a3d,A_개원의,박정숙,일반 의사,72,60+,여자,서울,수도권,서울-강남구
f9d0257de2224c479852734d60a09dd3,A_개원의,박건우,일반 의사,39,20-39,남자,부산,비수도권,부산-해운대구
6a6c2e2ab0f14a068966aeff2cc9b117,A_개원의,김은하,일반 의사,35,20-39,여자,서울,수도권,서울-은평구
d19bd6f041fc4872b539de33efadf4c7,A_개원의,김현정,내과 전문 의사,40,40-59,여자,부산,비수도권,부산-사하구
734a3c8b89494d4185d7dd970a3e5abf,A_개원의,김문경,안과 및 이비인후과 전문 의사,43,40-59,여자,경기,수도권,경기-안산시 상록구
907c60bd8e8840bf9c768bc5a5767c20,A_개원의,한병근,일반 의사,61,60+,남자,대구,비수도권,대구-수성구
c4a60e67e4f046ab9347fc1b966e6d16,A_개원의,이동열,내과 전문 의사,60,60+,남자,인천,수도권,인천-미추홀구
38258be5b9804135aef9e3db064770d7,A_개원의,박유리,안과 및 이비인후과 전문 의사,37,20-39,여자,부산,비수도권,부산-수영구
b7ae78d8c65c4b7dad7357c9fb7cb316,A_개원의,유보경,내과 전문 의사,39,20-39,여자,인천,수도권,인천-부평구
ffcaa853f15546d09d96f48a1d88c0aa,A_개원의,하정명,일반 의사,55,40-59,남자,전북,비수도권,전북-전주시 완산구
4683d92cbd0f4a1e89f655040a34f2e9,A_개원의,강정아,내과 전문 의사,48,40-59,여자,경기,수도권,경기-양평군
91307bc71fab4177aac98dd308548111,A_개원의,구현숙,그 외 전문 의사,66,60+,여자,충청남,비수도권,충청남-아산시
561c086114ba4762b356122e057c8090,A_개원의,최경희,내과 전문 의사,60,60+,여자,서울,수도권,서울-강서구
7892a303c85b45e0866632848e0c3d7c,A_개원의,김선영,내과 전문 의사,38,20-39,여자,부산,비수도권,부산-강서구
fe067288432d4000b1e682f5ff37e81c,A_개원의,김지현,일반 의사,32,20-39,여자,서울,수도권,서울-양천구
5443501c8737478d9d6e1102f5c1ce09,A_개원의,조미영,일반 의사,44,40-59,여자,전라남,비수도권,전라남-해남군
2fadfa3fcb3c4bcdaf583941c20b750b,A_개원의,유정석,내과 전문 의사,53,40-59,남자,서울,수도권,서울-금천구
497b6d20303847f58aa9836dc42927cf,A_개원의,소영희,내과 전문 의사,60,60+,여자,전북,비수도권,전북-전주시 완산구
8545be8224a34456b55fdf49a17d9784,A_개원의,하만석,일반 의사,70,60+,남자,서울,수도권,서울-송파구
29bb271988c241f4b73a837074ccf684,A_개원의,구다예,안과 및 이비인후과 전문 의사,37,20-39,여자,충청남,비수도권,충청남-아산시
4a7359feb8b54400a2195f71ed7151f9,A_개원의,최주리,안과 및 이비인후과 전문 의사,30,20-39,여자,경기,수도권,경기-용인시 수지구
224a555dd4db447986a97b682c453f7c,A_개원의,김명숙,내과 전문 의사,56,40-59,여자,경상남,비수도권,경상남-사천시
9f8cf58e5bab48dab030d740a3ee176b,A_개원의,양향심,내과 전문 의사,58,40-59,여자,경기,수도권,경기-시흥시
e9a0054dcb444e469e9045a2c82cf665,A_개원의,오명식,일반 의사,72,60+,남자,전북,비수도권,전북-전주시 완산구
46598ae04e704235a3b9c61642ed0a8f,A_개원의,강명순,일반 의사,63,60+,여자,경기,수도권,경기-부천시 소사구
08261dea8cec46f3b97c05189bba7af1,A_개원의,박한결,내과 전문 의사,35,20-39,여자,광주,비수도권,광주-북구
f9dc961efc7047c9a9ec6b7ae9a03ade,A_개원의,한미진,내과 전문 의사,39,20-39,여자,경기,수도권,경기-고양시 일산동구
6f03e45e8938450885933b330c3cdac2,A_개원의,김혜윤,내과 전문 의사,56,40-59,여자,제주,비수도권,제주-서귀포시
19d3af4ffa4d4dc59ba9236cee2a18f0,A_개원의,황현숙,일반 의사,58,40-59,여자,서울,수도권,서울-강서구
1128d5cf8c474406a083c434c4e32f38,A_개원의,이안수,외과 전문 의사,79,60+,남자,대구,비수도권,대구-수성구
9fd8cda706fd40b0804be045832926c2,A_개원의,이영옥,내과 전문 의사,67,60+,여자,서울,수도권,서울-은평구
2d930dbf948e4fb8b2d073b1f7504e04,A_개원의,박동호,내과 전문 의사,37,20-39,남자,광주,비수도권,광주-북구
e4e3033dc6c743dfb440b945ee7e67da,A_개원의,장미해,일반 의사,36,20-39,여자,서울,수도권,서울-송파구
1dfdbacb392d41efabc4516218a79939,C_일반시민,이소연,관광버스 운전원,30,20-39,여자,강원,비수도권,강원-춘천시
9fbc283a181b4ba29141d6e12e7713c9,C_일반시민,백다운,네트워크 프로그래머,35,20-39,남자,서울,수도권,서울-관악구
c54cc43886df4254b37475251e9080c0,C_일반시민,이유나,경호원,48,40-59,여자,대구,비수도권,대구-달서구
4664410391514781afba34f4cd834066,C_일반시민,김상훈,관세행정 사무원,45,40-59,남자,경기,수도권,경기-파주시
3008cb2af3f04ad7982ac128d8575ac3,C_일반시민,김경애,무직,89,60+,여자,전라남,비수도권,전라남-목포시
e72fc65f27e34626a523f655ee0517da,C_일반시민,김희분,매장 정리원,84,60+,여자,인천,수도권,인천-부평구
a6a087af2e7143da8767dd2b24af3321,C_일반시민,권성재,무직,19,20-39,남자,경상북,비수도권,경상북-문경시
5b14be6bb24a4d69b78c4e95f93255af,C_일반시민,정승진,그 외 법률 관련 사무원,26,20-39,남자,경기,수도권,경기-화성시
eed3d3ef0ae44aa08f7067ea9f33d109,C_일반시민,오희성,지게차 운전원,53,40-59,남자,충청남,비수도권,충청남-당진시
93ebbbded0024216a7c336fa95ee8378,C_일반시민,김승민,철도운송 사무원,44,40-59,남자,경기,수도권,경기-남양주시
e971c648f00f4ce38579dfa5cc4de6fa,C_일반시민,유동원,무직,60,60+,남자,대전,비수도권,대전-서구
6f8ca2c03f264b1b92faedc8fd5b629b,C_일반시민,박주현,무직,80,60+,남자,경기,수도권,경기-안양시 동안구
860f42b1bbeb47109fa3bdbfaa25a88a,C_일반시민,박윤주,그 외 판매 및 고객 서비스 관리자,38,20-39,여자,경상남,비수도권,경상남-창원시 진해구
6dd8b865f14f4b7881ecb3ae1a6eaa08,C_일반시민,손가은,그 외 시각 디자이너,23,20-39,여자,서울,수도권,서울-광진구
06b2a4cc290547ecba025b452d1b601c,C_일반시민,신동환,생산관리 사무원,59,40-59,남자,부산,비수도권,부산-기장군
22e0cbb741d94871b5703d81bfb42fb3,C_일반시민,신경택,무직,55,40-59,남자,서울,수도권,서울-강남구
0a3318879c2640f293fbd7bb8ff6eda9,C_일반시민,박순금,금속 세척기 조작원,60,60+,여자,광주,비수도권,광주-북구
df38b8fd10ac40dbb84192a5aa47c094,C_일반시민,최영숙,무직,70,60+,여자,서울,수도권,서울-영등포구
8c70fd2d4e8943df9af1e775be70b2d1,C_일반시민,정선우,경리 사무원,31,20-39,여자,경상북,비수도권,경상북-포항시 북구
0eeb8b9e21b04ae69c65698c2d32ebfd,C_일반시민,손은성,무직,19,20-39,남자,경기,수도권,경기-이천시
aa97e494aef04a3e8d9bb68bc87e4014,C_일반시민,홍선화,무직,49,40-59,여자,강원,비수도권,강원-속초시
08a917d0a67a4741ab877965852d845d,C_일반시민,정상일,무직,48,40-59,남자,경기,수도권,경기-파주시
